ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_BIEN,DESCRIPCION_BIEN,CARACTERISTICAS_BIEN,VALOR_BIEN
ACCION POPULAR,CONGRESISTA,JUAN MARIANO,NAVARRO PANDO,CAMIONETA 4X2,CHERY-TIGO-2013,D7M-046,50000
ACCION POPULAR,CONGRESISTA,KELLY AMANDA,SOTO ENRIQUEZ,AUTO,KIA 2014,XUI 549,45000
ACCION POPULAR,CONGRESISTA,LEOPOLDO ANIBAL,ALBAÑIL ORDINOLA,AUTOMOVIL,VW-2010,P1B-5123,25000
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,TOYOTA,YARIS,X31-502,27000
ACCION POPULAR,CONGRESISTA,LUIS CARLOS,SIMEON HURTADO,CAMIONETA HYUNDAI SANTA FE,SANTA FE,HID590,69
ACCION POPULAR,CONGRESISTA,LUIS CARLOS,SIMEON HURTADO,AUO TOYOTA YARIS,YARIS 2015,ALQ415,48
ACCION POPULAR,CONGRESISTA,LUIS FERNANDO,OLAZABAL CONDE,CAMIONETA,TOYOTA COROLA 2001,TGH080/BLANCO,20400
ACCION POPULAR,CONGRESISTA,LUIS HUMBERTO,SIME BALLADARES,Camioneta,Nissan 2002,M1J - 184,35000
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,MERINO DE LAMA,CAMIONETA,TOYOTA - RNGIL-MRA,PA-1744,20000
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,MERINO DE LAMA,CAMIONETA,HONDA - CRV -2009,A3Y-193,40000
ACCION POPULAR,CONGRESISTA,MARIA ELENA,GUILLEN NUÑEZ,CAMIONETA,ZOTYE,V40519,35000
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,CAMINONETA FORD ECO SPORT,FORD SPORT 2015,Z4Q286,60000
ACCION POPULAR,CONGRESISTA,MARIA LUISA,RAMIREZ CHUMBE ,MOTOCICLETA,HONDA NF100 WAVE 2011,L3-5397,3450
ACCION POPULAR,CONGRESISTA,MARIA LUISA,RAMIREZ CHUMBE ,MOTOCICLETA,HONDANF100 WAVE 2011,L3-3368,3350
ACCION POPULAR,CONGRESISTA,MARIA SHEILA PATRICIA,LAZO DEL CARPIO,AUTOMOVIL,HYUNDAI ELANTRA,CIL-100,29000
ACCION POPULAR,CONGRESISTA,MARIO,ACOSTA QUISPE,motocicleta,RTM 200GY,Y2-3762,1500
ACCION POPULAR,CONGRESISTA,MARITZA DORALINDA,GIL ORDINOLA,CAMIONETA,KIA SPORTAGE,B95-117,48000
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,CAMIONETA,TOYOTA HILUX 1990,PH-9878,9000
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,CAMIONETA,KIA SORENTO 2014,AEA - 526,102000
ACCION POPULAR,CONGRESISTA,MOISES,CAYO PACHAURI,CAMIONETA,TOYOTA LC 2013,Z3I - 169,120400
ACCION POPULAR,CONGRESISTA,NORMA JUDITH,TORRES LOZANO,Auto ,hyundnai,BO-8926,7000
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,AUTO SEDAN,TOYOTA - COROLLA - 2005,BON -623,58000
ACCION POPULAR,CONGRESISTA,OSCAR RAFAEL,BENAVIDES RUIZ,Automóvil ,Renault-Logan-2011,M1V-193,30000
ACCION POPULAR,CONGRESISTA,OSWALDO RUBEN,ALFARO JIMENEZ,Carro,Hyundai Tucson 2006,C-2CC583 plomo,33000
ACCION POPULAR,CONGRESISTA,PEDRO ANTONIO,MORALES MANSILLA,CAMIONETA S-W,MERCEDES BENZ - 98,S6D-812,40000
ACCION POPULAR,CONGRESISTA,PEDRO GUILLERMO,ROSARIO TUEROS,AUTO,TOYOTA-YARIS-2010 ,A4L-330,34000
ACCION POPULAR,CONGRESISTA,PEDRO GUILLERMO,ROSARIO TUEROS,CAMIONETA,KIA-SORENTO-2014,AEL-138,98600
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,Moto Honda CGL 125,Honda CGL 125 2009,1X 3122,3250
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,Motor de Luz,Yamaha 2008,motor de luz,950
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,Motosierra Stheel,2010,motosierra,2500
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,Canoa de madera para transporte de  pasajeros,Artesanal de Madera,Santa Elena,3500
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,Moto cultivadora sthell,Sthell,motocultivadora ,950
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,Otor Brig Strate 16 HP,2008,estacionario,3500
ACCION POPULAR,CONGRESISTA,RUFINO,MACHACA QUINTO,AUTO NISSAN 1985,Z4I-654 1985,G036573,7500
ACCION POPULAR,CONGRESISTA,SAMUEL,ANAYA CANGANA,KOMBI,TOYOTA - 1985,BOA 704,7500
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,AUTO,HYUNDAI,Z1U080,27000
ACCION POPULAR,CONGRESISTA,VICTOR MANUEL,BELAUNDE GONZALES,CAMIONETA,TOYOTA RAV4 - 2008,ROZ 939,30000
ACCION POPULAR,CONGRESISTA,YONHY,LESCANO ANCIETA,AUTO,TOYOTA 2015,AHK-S99 YARIS COLOR NEGRO,42640
ACCION POPULAR,CONGRESISTA,YONHY,LESCANO ANCIETA,CAMIONETA,SAN YONG 2014,AJX-130 REXTONW 4X4,75440
ACCION POPULAR,CONGRESISTA,YULIANA MARGOT,SILVA RONCAL,CAMION,FORD -1966,H1M851,45000
ACCION POPULAR,CONGRESISTA,YURI MARTIN,ARMAS PEÑA,Camioneta ,Volkswagen,T1A-093,24000
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,AUTOMOVIL,MERCEDES BENZ - E-200 - 2010,B1G-580,117250
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,CAMIONETA,NISSAN- X-TERRA - 2006,LGI-414,67000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ABEL,AYARZA ROMERO,AUTOMÓVIL,TOYOTA CORONA 1969,AZ1909-ROJO,6800
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ABEL,CHILON CASTREJON,CAMIONETA,TOYOTA-HI-LUX-2008,F6Q-834,15000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ADOLFO ALBERTO,ARRIETA KOHLER ,CAMIONETA ,HYUNDAI TUCSON 2014,ADF459/PLATA,73770
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,AGUSTINA CARMELA,TORRES RODRIGUEZ,AUTO,NISSAN-CENTRA-1992,IQ-2354/BLANCO,10640
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CARLOS ALBERTO,SOSA ESTUPIÑAN,MOTOCICLETA LINEAL,HONDA- CV050-1990,NY7594/CELESTE,800
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CARLOS MAGNO,CHACON FLORES,AUTO,MERCEDES BENS 2010,A5V - 008,70000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CESAR AUGUSTO,SANDOVAL NIZAMA,AUTOMOVIL,DAEWOO PRINCE 1990,AML523/NEGRO,6000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CESAR AUGUSTO,SANDOVAL NIZAMA,AUTOMOVIL,NISSAN SENTRA 2009,AOM683/ROBADO,6000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CHRISTOPHER ANTONIO,CASTILLO CALDERON ,AUTOMOVIL,VOLVO / 460 - 1997,AIR - 055 / VERDE,13000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CHRISTOPHER ANTONIO,CASTILLO CALDERON ,AUTOMOVIL,HONDA  ACCORD 2009,AFD - 3581 PLOMO,47880
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDELMIRA NELIDA,UGALDE EVANGELISTA ,MINIBUS ,JINBEI HAISE 2012,D5J256 / BLANCO,57336.87109375
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDELMIRA NELIDA,UGALDE EVANGELISTA ,AUTOMOVIL,TOYOTA YARIS 2008,CIR 557 / PLOMO PLATA,28000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDWIN BENITO,SOVERO ROMAN ,Camioneta,Hundai Terracan 2003,RQW-224,59500
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDWIN BENITO,SOVERO ROMAN ,Automovil,Nissan 2008,COJ-747,42000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDWIN BENITO,SOVERO ROMAN ,Automóvil,Volkswagen Escarabajo 1975,AP-3891,10500
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,SEDAN,NISSAN SENTRA 2010,AGZ - 444 - GRIS,25000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,CAMIONETA,NISSAN X- TRAIL 2008,ROY- 379 COLOR GRIS,55000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FERMIN,MESTAS PACOMPIA,TOYOTA,YARIS,V5M533,44064
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FERNANDO,AZAÑERO SANDOVAL ,AUTOMOVIL,HONDA-CIVIC 1984,HQ4291 / BLANCO GREEK,6282
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FLORESMILO,GUERRERO NEYRA,CAMIONETA,TOYOTA HILLUX 2008,ACH810/PLATEADO,80000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FLORESMILO,GUERRERO NEYRA,CAMIONETA,SUZUKI GRAND NOMADE 2011,P1J287/ROJO,55000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FLORESMILO,GUERRERO NEYRA,MOTOTAXI,HONDA,ROJO,3000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FLORESMILO,GUERRERO NEYRA,AUTOMOVIL,TOYOTA CALDINA 1989,P1F515/ROJO,25000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FLORESMILO,GUERRERO NEYRA,CAMIONETA,MITSUBISHI L200 2007,OB3784/VERDE,70000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GABY PILAR,CORDOVA ALVAREZ,MOTO,HONDO-WAVE 110-2015,76995W/COLOR BLANCO,4000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GUSTAVO BERNARDO,RONDON FUDINAGA,AUTOMOVIL,WOLSKWAGEN 1977,KI-2563,3000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,HAYDEE,FLORES ROJAS ,N1 - CAMIONETA PICKUP,NISSAN-FRONTIER 2007,B5G905/BLANCA,49000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,HERNAN,SUAREZ TOLEDO,TRIMOVIL,BAJAJ 2003,W1-7292 / ROJO,5000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,IBAR,QUINTANA MOSCOSO,CAMIONETA ,TOYOTA RURAL 1993,X3M-145,15000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,IBAR,QUINTANA MOSCOSO,AUTO,YUNDAE - 1997,AQK-995,5000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JAIME ROOSEWELT,MINAYA CASTROMONTE,CAMIONETA,TOYOTA-LAND CRUISER PRADO-2013,D9V-269/BLANCO PERLA PARTIDA REGISTRAL 52679195,136000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JAIME ROOSEWELT,MINAYA CASTROMONTE,CAMIONETA,TOYOTA-RAV 4- 2014,F8B-666/BLANCO PERLA PARTIDA REGISTRAL 52875695,91800
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE,HINOSTROZA AUCASIME,Camioneta Rural,Suzuki-Grand Nómade-2012,C8E-127- color azul-M1,60000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE ALEJANDRO,VEGA ANTONIO ,Camioneta,Kia Sportage 2012,C7E109,70000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE ALEJANDRO,VEGA ANTONIO ,Camioneta Rural,Toyota Prado 2007,ROO364,73500
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE AUGUSTO,ARCE PAREDES ,AUTOMOVIL,KIA-RIO -2012,V3M-437,35000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,CAMIONETA,NISSAN  AD-LE AZUL MARINO,SGF-275,12000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,CAMIONETA,NISSAN  FRONTIER NP 300  ROJO,AKF-704,70000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,CAMIONETA,MITSUBISHI  MONTERO  NEGRO,RIW-155,50000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,CAMIONETA,NISSAN  PATROL  NEGRO,B6Z-119,226240
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,AUTOMOVIL,DAIHATSU  360 ROJO NEGRO,EI-4335,0
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,CAMIONETA,NISSAN  NAVARA  GRIS PARDO,ABE-752,94950
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LUIS,ALPACA DEZA,CAMIONETA RURAL,TOYOTA PRADO,A3S-529,60000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE ROMULO,VASQUEZ DIAZ,CAMIONETA,TOYOTA - STATION VAGON - 1988,D2C349,7000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE ROMULO,VASQUEZ DIAZ,AUTOMOVIL,TOYOTA YARIS 2013,C3Y476,42000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN AGUSTIN,RODRIGUEZ CARBAJAL,MOTOCICLETA,HONDA-CBF150-2012,S43630-COLOR ROJO,4000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN DAVID,PERRY CRUZ,MOTO LINEAL,HONDA CGL 125,X52139 - ROJO,3800
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN DAVID,PERRY CRUZ,MOTO LINEAL ,HONDA CGL 125,X52138 - NEGRO,3800
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN HILMER,GONZALES SANDOVAL ,AUTO,TOYOTA - COROLLA - 1990,AG5-305/ROJO GRANATE,3000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JULIO,CARDENAS SANCHEZ,Auto,NISSAN T11DA 2012,DIS 499,28000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LEONARDA LUZGARDA,COARITE LAURA,AUTO,FORD,Z2X-635,29000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LEONARDA LUZGARDA,COARITE LAURA,AUTO,TOYOTA,U1A-215,6500
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LEONOR,CASA ZEBALLOS ,CHEVROLET,CAMARO 1995,F6C-695,6000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LITA MIRIAM,PEREZ VEGA,AUTOMOVIL,TOYOTA -STATION WAGON,FOE - 137 PLOMO,15000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS ALBERTO,SIESQUEN CHAPOÑAN,AUTO,KIA PICANTO -2012,MZI-475,30000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS ALBERTO,PILLACA MOROTE,AUTO,HYUNDAI ACCENT 2014,AAA 0701,50000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS DANTE,ZUBIA CORTEZ,Toyota,RAV -4 2012,A3X-317,60000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS PELAYO,AGUILAR ARENAZA ,AUTOMÓVIL MENOR,FIBRASA-TRIMOTO-2008,NG48443-AZUL,2400
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS PELAYO,AGUILAR ARENAZA ,AUTOMÓVIL,DATSUN-SEDAN-1972,AG1228-AMARILLO,1000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS PELAYO,AGUILAR ARENAZA ,AUTOMÓVIL,TOYOTA-COROLLA-2015,ALB518-NEGRO,61880
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS PELAYO,AGUILAR ARENAZA ,AUTOMOVIL,WOLKSWAGEN-SEDAN-1976,AD9654-AMARILLO,1600
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUZ ELIZABETH,MONTENEGRO DAVILA,CAMIONETA,NISSAN MURANO 2013,M2X086,160080
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMION,VOLVO F2 / 1997,D6M946 / BLANCO,32020
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMIONETA PANEL,NISSAN HOMY DX 1998,QQ2097 / BLANCO,5000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMIONETA PANEL,NISSAN- HOMY DX 1998,QQ2764 / BLANCO,5000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMION ,VOLVO 7 / 1990,F5C921 / BLANCO,48552
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMION,MITSUBISHIISO/1994,F4O712 / BLANCO,48552
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMION,DODGE / 1974,WI3227 / BLANCO,5000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMION ,VOLVO F7 / 1997 ,XQ - 2718 / BLANCO,35000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,COMBI,NISSAN CARAVAN 1988,AHQ072 / PLOMO,6936
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMION,DODGE 11974,WI2995 / BLANCO,6936
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,AUTOMOVIL,VOLKSWAGEN TIPO 1 ESCARABAJO 1974,AG7061 / ROJO,1000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMION ,VOLVO F6/ 1990,XI8667 / BLANCO,17355
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMIONETA PANEL,NISSAN - HOMY DX 1998,B4A885 / BLANCO,6936
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMION,MITSUBISHI 1994,D7Q - 700 / BLANCO,50000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,AUTOMOVIL,VOLKSWAGEN TIPO 1 ESCARABAJO 1974,HI4297 / NARANJA,1000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUEL,RIVAS QUISPE ,CAMION GRUA,VOLVO F7 1997,D5V7 20 / BLANCO,104400
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCIA,MONTERO LARA,HYUNDAI,ELANTRA 1995,AGB 348 - MECANICO -VERDE OSCURO,5000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCO ANTONIO,ACOSTA ASHTU,AUTOMOVIL,NISSAN SUNNY SEDAN -1990,AGT336 BLANCO,5000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCO TULIO,SOTO GUTIERREZ,CAMIONETA,TOYOTA-RAV4-2015,COLOR NEGRO,80000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCO TULIO,SOTO GUTIERREZ,CAMIONETA,ARO-1986,COLOR ROJO,10000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARLENY,SONCCO FARFAN,AUTOMÓVIL ,NISSAN TIIDA 2015,X3G419,47192
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARTIN,BELAUNDE MOREYRA ,AUTOMÓVIL,HYUNDAI-ELANTRA-2005,CGG-766,12000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARTIN,BELAUNDE MOREYRA ,AUTOMÓVIL,NISSAN-ALMERA-2011,B1O-269,26400
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,OSCAR,CORDOVA BASILIO,CARRO,TICO-DAWOO 1985,W1R - 485,9600
